[2026-02-11T11:08:12+08:00][info] [loadAvailablePorts] 从数据库加载端口配置，数量: 151
[2026-02-11T11:08:12+08:00][info] [TelegramTask] 批次处理开始: batch_id=batch_698bf299b81c89.69897453, type=set_online, 任务数=150
[2026-02-11T11:08:12+08:00][info] [batchApiProcess] 开始批量API处理，类型: set_online, 总任务数: 150
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2409 分配到端口 5144
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2410 分配到端口 5145
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2411 分配到端口 5146
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2412 分配到端口 5147
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2413 分配到端口 5148
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2414 分配到端口 5149
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2415 分配到端口 5150
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2416 分配到端口 5000
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2417 分配到端口 5001
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2418 分配到端口 5002
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2419 分配到端口 5003
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2420 分配到端口 5004
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2421 分配到端口 5005
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2422 分配到端口 5006
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2423 分配到端口 5007
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2424 分配到端口 5008
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2425 分配到端口 5009
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2426 分配到端口 5010
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2427 分配到端口 5011
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2428 分配到端口 5012
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2429 分配到端口 5013
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2430 分配到端口 5014
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2431 分配到端口 5015
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2432 分配到端口 5016
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2433 分配到端口 5017
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2434 分配到端口 5018
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2435 分配到端口 5019
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2436 分配到端口 5020
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2437 分配到端口 5021
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2438 分配到端口 5022
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2439 分配到端口 5023
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2440 分配到端口 5024
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2441 分配到端口 5025
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2442 分配到端口 5026
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2443 分配到端口 5027
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2444 分配到端口 5028
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2445 分配到端口 5029
[2026-02-11T11:08:12+08:00][info] [getBalancedPortConfig] 用户 2446 分配到端口 5030
